 ,um
Index,Slice0
0, -57.9398
1, -57.9368
2, -57.9337
3, -57.9322
4, -57.9277
5, -57.9231
6, -57.9186
7, -57.9171
8, -57.911
9, -57.9065
10, -57.9065
11, -57.9049
12, -57.9034
13, -57.9004
14, -57.9019
15, -57.9004
16, -57.8989
17, -57.9004
18, -57.9004
19, -57.9004
20, -57.9004
21, -57.9004
22, -57.9004
23, -57.9019
24, -57.9004
25, -57.8989
26, -57.9004
27, -57.9019
28, -57.9019
29, -57.9019
30, -57.9034
31, -57.9019
32, -57.9034
33, -57.9019
34, -57.9019
35, -57.9019
36, -57.9019
37, -57.9019
38, -57.9004
39, -57.9004
40, -57.9034
41, -57.9019
42, -57.9019
43, -57.9019
44, -57.9004
45, -57.9004
46, -57.8989
47, -57.8989
48, -57.9004
49, -57.9004
50, -57.9004
51, -57.9004
52, -57.9004
53, -57.9019
54, -57.9019
55, -57.8989
56, -57.9019
57, -57.9034
58, -57.9034
59, -57.9004
60, -57.9019
61, -57.8989
62, -57.9004
63, -57.8989
64, -57.8958
65, -57.8974
66, -57.8974
67, -57.8974
68, -57.8974
69, -57.8958
70, -57.8943
71, -57.8943
72, -57.8943
73, -57.8928
74, -57.8928
75, -57.8928
76, -57.8913
77, -57.8913
78, -57.8913
79, -57.8898
80, -57.8928
81, -57.8883
82, -57.8883
83, -57.8913
84, -57.8913
85, -57.8898
86, -57.8868
87, -57.8883
88, -57.8868
89, -57.8868
90, -57.8822
91, -57.8852
92, -57.8807
93, -57.8807
94, -57.8792
95, -57.8746
96, -57.8746
97, -57.8671
98, -57.8655
99, -57.858
100, -57.8534
