 ,degrees/acquire
Index,Slice0
0, 1.00138
1, 1.00089
2, 0.999424
3, 0.999912
4, 1.0004
5, 1.0004
6, 1.0004
7, 0.999424
8, 0.998936
9, 1.00138
10, 0.998448
11, 1.00138
12, 0.999912
13, 0.998936
14, 0.999424
15, 1.00138
16, 1.0004
17, 0.999912
18, 0.999424
19, 0.999912
20, 1.0004
21, 0.998936
22, 1.0004
23, 0.999912
24, 0.999912
25, 1.0004
26, 0.998936
27, 0.999424
28, 0.999912
29, 1.00089
30, 0.999912
31, 0.999424
32, 0.999424
33, 1.00138
34, 0.997472
35, 0.998936
36, 1.0004
37, 0.999424
38, 1.00138
39, 0.999912
40, 0.998936
41, 0.999912
42, 1.0004
43, 0.999424
44, 0.999912
45, 0.999424
46, 1.0004
47, 0.999424
48, 1.0004
49, 0.998936
50, 1.00138
51, 0.998448
52, 1.0004
53, 1.0004
54, 0.999912
55, 1.00089
56, 0.999912
57, 1.00089
58, 0.999424
59, 0.998936
60, 1.00089
61, 1.0004
62, 0.999912
63, 0.999424
64, 1.00382
65, 0.999424
66, 0.99796
67, 1.00138
68, 0.999424
69, 0.999912
70, 1.0004
71, 1.00089
72, 0.999424
73, 0.999424
74, 0.999912
75, 0.999912
76, 0.999912
77, 0.999424
78, 0.999912
79, 1.00186
80, 0.998936
81, 1.0004
82, 0.999912
83, 0.999912
84, 0.998936
85, 1.0004
86, 1.00089
87, 0.998936
88, 1.0004
89, 1.0004
90, 0.998448
91, 1.00138
92, 0.997472
93, 1.00089
94, 1.0004
95, 0.999912
96, 1.00089
97, 1.0004
98, 0.998448
99, 1.0004
100, 1.0004
