 ,um
Index,Slice0
0, 118.19
1, 118.185
2, 118.179
3, 118.177
4, 118.173
5, 118.168
6, 118.167
7, 118.164
8, 118.162
9, 118.158
10, 118.15
11, 118.143
12, 118.139
13, 118.136
14, 118.133
15, 118.132
16, 118.125
17, 118.125
18, 118.124
19, 118.123
20, 118.122
21, 118.121
22, 118.119
23, 118.118
24, 118.116
25, 118.117
26, 118.116
27, 118.112
28, 118.112
29, 118.109
30, 118.108
31, 118.109
32, 118.108
33, 118.106
34, 118.104
35, 118.102
36, 118.102
37, 118.101
38, 118.099
39, 118.099
40, 118.099
41, 118.095
42, 118.096
43, 118.093
44, 118.092
45, 118.093
46, 118.091
47, 118.09
48, 118.091
49, 118.09
50, 118.093
51, 118.095
52, 118.097
53, 118.102
54, 118.104
55, 118.107
56, 118.109
57, 118.111
58, 118.113
59, 118.117
60, 118.115
61, 118.116
62, 118.113
63, 118.112
64, 118.114
65, 118.116
66, 118.115
67, 118.118
68, 118.117
69, 118.114
70, 118.109
71, 118.11
72, 118.109
73, 118.108
74, 118.102
75, 118.105
76, 118.101
77, 118.1
78, 118.098
79, 118.1
80, 118.098
81, 118.094
82, 118.094
83, 118.093
84, 118.09
85, 118.091
86, 118.089
87, 118.089
88, 118.085
89, 118.083
90, 118.082
91, 118.081
92, 118.078
93, 118.076
94, 118.076
95, 118.075
96, 118.072
97, 118.072
98, 118.066
99, 118.065
100, 118.063
